camera_count,frames_total,wall_seconds,execution_wall_seconds,aggregate_fps,rss_start_mb,rss_end_mb,rss_peak_mb,track_p50_ms,track_p95_ms,track_p99_ms,pose_p50_ms,pose_p95_ms,pose_p99_ms,identity_p50_ms,identity_p95_ms,identity_p99_ms,behavior_p50_ms,behavior_p95_ms,behavior_p99_ms,total_p50_ms,total_p95_ms,total_p99_ms
1,382,15.038,29.103,25.402,749.762,1910.996,1972.613,17.515,23.829,27.381,18.1,24.989,30.341,0.145,0.196,0.243,0.22,0.298,0.372,35.92,49.455,55.445
2,408,15.041,23.509,27.126,1910.711,2003.832,2124.016,33.475,46.386,55.469,34.964,48.793,59.966,0.144,0.196,0.249,0.232,0.317,0.478,68.625,91.371,109.148
4,408,15.119,31.746,26.986,2003.309,2164.742,2403.652,69.25,88.937,97.449,71.197,93.707,100.847,0.14,0.189,0.224,0.209,0.301,0.354,141.885,176.295,185.837
