camera_count,frames_total,wall_seconds,execution_wall_seconds,aggregate_fps,rss_start_mb,rss_end_mb,rss_peak_mb,track_p50_ms,track_p95_ms,track_p99_ms,pose_p50_ms,pose_p95_ms,pose_p99_ms,identity_p50_ms,identity_p95_ms,identity_p99_ms,behavior_p50_ms,behavior_p95_ms,behavior_p99_ms,total_p50_ms,total_p95_ms,total_p99_ms
1,412,15.026,25.068,27.419,753.191,1933.41,1995.031,16.867,18.781,20.984,17.4,19.054,22.987,0.137,0.175,0.197,0.216,0.281,0.326,34.569,37.816,41.522
2,414,15.084,22.916,27.446,1933.105,2024.891,2145.777,33.444,42.884,49.143,35.113,45.745,55.343,0.143,0.193,0.254,0.229,0.309,0.376,68.784,85.397,97.823
4,444,15.082,30.45,29.439,2024.359,2185.551,2425.551,65.048,78.062,86.047,66.648,77.842,85.372,0.132,0.169,0.196,0.201,0.282,0.342,132.673,151.191,155.122
