seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
intrusion,0.5571428571428572,0.782888280606338,0.43618061348067405,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5460992907801419,0.4789687924016282,0.3473423980222497,0.29916567342073896,0.21787709497206703,0.12836438923395446,0.027332704995287466,0.0,0.43019588275776294,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5460992907801419,0.4789687924016282,0.3473423980222497,0.29916567342073896,0.21787709497206703,0.12836438923395446,0.027332704995287466,0.0,0.43019588275776294,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5571428571428572,0.5460992907801419,0.4789687924016282,0.3473423980222497,0.29916567342073896,0.217877094972067,0.12836438923395446,0.027332704995287466,0.0,0.43019588275776294,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5833333333333334,0.5348484848484848,0.4257575757575758,0.3803030303030303,0.29545454545454547,0.18787878787878787,0.04393939393939394,0.0,0.4711323763955343,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.8953488372093024,0.8209302325581396,0.6534883720930232,0.5837209302325581,0.45348837209302323,0.28837209302325584,0.06744186046511629,0.0,0.7231334149326805,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5833333333333334,0.5348484848484848,0.4257575757575758,0.3803030303030303,0.29545454545454547,0.18787878787878787,0.04393939393939394,0.0,0.4711323763955343,0.9069767441860466,0.9069767441860466,0.9069767441860466,0.9069767441860466,0.9069767441860466,0.9069767441860466,0.9069767441860466,0.9069767441860466,0.9069767441860466,0.9069767441860466,0.9069767441860466,0.8953488372093024,0.8209302325581396,0.6534883720930232,0.5837209302325581,0.4534883720930233,0.28837209302325584,0.06744186046511629,0.0,0.7231334149326806,0.782888280606338,0.782888280606338,0.782888280606338,0.782888280606338,0.782888280606338,0.782888280606338,0.782888280606338,0.782888280606338,0.782888280606338,0.782888280606338,0.782888280606338,0.7854001096924916,0.799968095416671,0.83180376151607,0.8440679998628438,0.8637191265503705,0.8829733979155242,0.914755552732844,1.0,0.817603112124028,0.5737776391780872,0.5737776391780872,0.5737776391780872,0.5737776391780872,0.5737776391780872,0.5737776391780872,0.5737776391780872,0.5737776391780872,0.5737776391780872,0.5737776391780872,0.5737776391780872,0.5644093546547129,0.5061380571600197,0.38455644233295067,0.3373034422660904,0.25371791040430886,0.15529631629911989,0.03465519430355537,0.0,0.4498753025463009,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,385.0,353.0,281.0,251.0,195.0,124.0,29.0,0.0,310.94736842105266,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,275.0,307.0,379.0,409.0,465.0,536.0,631.0,660.0,349.05263157894734,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,45.0,77.0,149.0,179.0,235.0,306.0,401.0,430.0,119.05263157894737,0.5303030303030303,0.782888280606338,0.5303030303030303,0.5909090909090909,0.9069767441860465,0.0,1.0,0.0,0.40200974157041186,0.7155963302752294,0.054570259208731244,0.5303030303030303,305.3264294364718,390,270,40,0,0,1,0,0.0,733,0.7155963302752294,0.5909090909090909,0.9069767441860465,390,270,40,430,660,1,1
line_crossing,0.6341621391257249,0.7288700562361118,0.46222179400738006,0.6341621391257249,0.6341621391257249,0.6341621391257249,0.6341621391257249,0.6341621391257249,0.6341621391257249,0.6341621391257249,0.6341621391257249,0.6212581246070178,0.5898812306055651,0.5421517375436954,0.5306679593642141,0.48640832634414116,0.41974243545442497,0.20407556159558182,0.11616743443901713,0.01722784991822104,0.0,0.0,0.4526777775198778,0.547945205479452,0.547945205479452,0.547945205479452,0.547945205479452,0.547945205479452,0.547945205479452,0.547945205479452,0.547945205479452,0.5374149659863946,0.5117056856187291,0.4723127035830619,0.4627831715210356,0.42586750788643535,0.3696969696969697,0.18324607329842932,0.10513447432762836,0.015730337078651686,0.0,0.0,0.39302387014910267,0.7339449541284404,0.7339449541284404,0.7339449541284404,0.7339449541284404,0.7339449541284404,0.7339449541284404,0.7339449541284404,0.7339449541284404,0.7181818181818181,0.68,0.6223175965665236,0.6085106382978723,0.5555555555555556,0.4765625,0.22727272727272727,0.12835820895522387,0.018867924528301886,0.0,0.0,0.5214308738097655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.95625,0.90625,0.89375,0.84375,0.7625,0.4375,0.26875,0.04375,0.0,0.0,0.7421052631578947,0.547945205479452,0.547945205479452,0.547945205479452,0.547945205479452,0.547945205479452,0.547945205479452,0.547945205479452,0.547945205479452,0.541095890410959,0.523972602739726,0.4965753424657534,0.4897260273972603,0.4623287671232877,0.4178082191780822,0.23972602739726026,0.14726027397260275,0.023972602739726026,0.0,0.0,0.40663302090843545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.95625,0.90625,0.89375,0.84375,0.7625,0.4375,0.26875,0.04375,0.0,0.0,0.7421052631578947,0.7339449541284404,0.7339449541284404,0.7339449541284404,0.7339449541284404,0.7339449541284404,0.7339449541284404,0.7339449541284404,0.7339449541284404,0.7247706422018348,0.7018348623853211,0.6651376146788991,0.6559633027522935,0.6192660550458715,0.5596330275229358,0.3211009174311927,0.19724770642201836,0.03211009174311927,0.0,0.0,0.5446644133268952,0.7288700562361118,0.7288700562361118,0.7288700562361118,0.7288700562361118,0.7288700562361118,0.7288700562361118,0.7288700562361118,0.7288700562361118,0.73257393321175,0.7409808613391397,0.7529392252080638,0.7556860620932584,0.7632782222333953,0.7723292641387565,0.8091503494252817,0.8324617167031064,0.8573005658094756,1.0,1.0,0.7814558236869011,0.8567058737562387,0.8567058737562387,0.8567058737562387,0.8567058737562387,0.8567058737562387,0.8567058737562387,0.8567058737562387,0.8567058737562387,0.8421428296046612,0.8063808033429368,0.7509829038589441,0.7374661910750373,0.6846531968814576,0.6028091789695973,0.3153281119434456,0.1857317114999924,0.028731023269511435,0.0,0.0,0.6214669968681839,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,158.0,153.0,145.0,143.0,135.0,122.0,70.0,43.0,7.0,0.0,0.0,118.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,15.0,17.0,25.0,38.0,90.0,117.0,153.0,160.0,160.0,41.26315789473684,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,134.0,139.0,147.0,149.0,157.0,170.0,222.0,249.0,285.0,292.0,292.0,173.26315789473685,0.0875,0.7409808613391397,0.0875,0.95625,0.523972602739726,1.0,0.0,0.0,-0.16018705134444772,0.6769911504424779,0.21351766513056836,0.0875,113.37007178488837,153,7,139,0,1,0,0,1.0,651,0.6769911504424779,0.95625,0.523972602739726,153,7,139,292,160,2,1
theft,0.9406303557024346,0.7737734089030048,0.7278347568495188,0.9406303557024346,0.9406303557024346,0.9406303557024346,0.9406303557024346,0.9406303557024346,0.9406303557024346,0.9406303557024346,0.9406303557024346,0.9406303557024346,0.8825222758409323,0.8703477233473178,0.8464651384941819,0.7805325180524619,0.7211935268063522,0.4738581757186604,0.25513413608990354,0.09959285034308404,0.012601804203443893,0.0,0.7056800710641183,0.9163398692810457,0.9163398692810457,0.9163398692810457,0.9163398692810457,0.9163398692810457,0.9163398692810457,0.9163398692810457,0.9163398692810457,0.9163398692810457,0.8604060913705583,0.8486759142496847,0.825653798256538,0.7620192307692307,0.7046511627906977,0.4645354645354645,0.2508532423208191,0.09812734082397004,0.012430939226519336,0.0,0.6881269477827839,0.9655647382920111,0.9655647382920111,0.9655647382920111,0.9655647382920111,0.9655647382920111,0.9655647382920111,0.9655647382920111,0.9655647382920111,0.9655647382920111,0.9052069425901201,0.8925729442970823,0.8678010471204188,0.7994955863808323,0.7381242387332522,0.48336798336798337,0.2594880847308032,0.10108024691358025,0.0127750177430802,0.0,0.7236839335002764,0.9873239436619718,0.9873239436619718,0.9873239436619718,0.9873239436619718,0.9873239436619718,0.9873239436619718,0.9873239436619718,0.9873239436619718,0.9873239436619718,0.9549295774647887,0.9478873239436619,0.9338028169014084,0.8929577464788733,0.8535211267605634,0.6549295774647887,0.4140845070422535,0.18450704225352113,0.02535211267605634,0.0,0.776204595997035,0.9272486772486772,0.9272486772486772,0.9272486772486772,0.9272486772486772,0.9272486772486772,0.9272486772486772,0.9272486772486772,0.9272486772486772,0.9272486772486772,0.8968253968253969,0.8902116402116402,0.876984126984127,0.8386243386243386,0.8015873015873016,0.6150793650793651,0.3888888888888889,0.17328042328042328,0.023809523809523808,0.0,0.7289752158173212,0.987323943661972,0.987323943661972,0.987323943661972,0.987323943661972,0.987323943661972,0.987323943661972,0.987323943661972,0.987323943661972,0.987323943661972,0.9549295774647887,0.9478873239436619,0.9338028169014084,0.8929577464788733,0.8535211267605634,0.6549295774647887,0.4140845070422535,0.18450704225352113,0.02535211267605634,0.0,0.776204595997035,0.9776847977684798,0.9776847977684798,0.9776847977684798,0.9776847977684798,0.9776847977684798,0.9776847977684798,0.9776847977684798,0.9776847977684798,0.9776847977684798,0.9456066945606694,0.9386331938633193,0.9246861924686194,0.8842398884239888,0.8451882845188284,0.6485355648535565,0.4100418410041841,0.18270571827057183,0.02510460251046025,0.0,0.7686265873889746,0.7737734089030048,0.7737734089030048,0.7737734089030048,0.7737734089030048,0.7737734089030048,0.7737734089030048,0.7737734089030048,0.7737734089030048,0.7737734089030048,0.7835718621221951,0.78547675189205,0.7884913485934589,0.7958015074466598,0.801239943078487,0.823587712581252,0.85327620918344,0.8753496867328024,0.9111894282128298,1.0,0.8095760594721167,0.9763837284958246,0.9763837284958246,0.9763837284958246,0.9763837284958246,0.9763837284958246,0.9763837284958246,0.9763837284958246,0.9763837284958246,0.9763837284958246,0.9297359212194486,0.9198144267156699,0.9001972352273911,0.844935368613738,0.7937283111574693,0.5626473043632222,0.3277956614250609,0.13656506650047917,0.017996491026341446,0.0,0.7484668075111179,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,678.0,673.0,663.0,634.0,606.0,465.0,294.0,131.0,18.0,0.0,551.1052631578947,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,32.0,37.0,47.0,76.0,104.0,245.0,416.0,579.0,692.0,710.0,158.89473684210526,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,78.0,83.0,93.0,122.0,150.0,291.0,462.0,625.0,738.0,756.0,204.89473684210526,0.8450704225352113,0.7835718621221951,0.8450704225352113,0.9549295774647887,0.8968253968253969,1.0,0.0,0.0,0.638396792280068,0.9249658935879945,0.08008213552361396,0.8450704225352113,531.2617225188483,678,32,78,0,1,0,0,1.0,974,0.9249658935879945,0.9549295774647887,0.8968253968253969,678,32,78,756,710,2,1
COMBINED,0.7587763073703714,0.7708719409074789,0.584919364777208,0.7587763073703714,0.7587763073703714,0.7587763073703714,0.7587763073703714,0.7587763073703714,0.7587763073703714,0.7587763073703714,0.7587763073703714,0.756859600119375,0.7233634139421231,0.7103298753630037,0.6930019494659159,0.6310103100511846,0.549248942610526,0.37697322865586386,0.2240533247523597,0.1032797417478101,0.018583753151661386,0.0,0.5714165578327787,0.7120091064314172,0.7120091064314172,0.7120091064314172,0.7120091064314172,0.7120091064314172,0.7120091064314172,0.7120091064314172,0.7120091064314172,0.710062535531552,0.6832680470061556,0.6711111111111111,0.6554760594386351,0.5949098621420997,0.5047523761880941,0.35373537353735374,0.2148626817447496,0.09541150764748725,0.015873015873015872,0.0,0.5366071274563996,0.8086153385203554,0.8086153385203554,0.8086153385203554,0.8086153385203554,0.8086153385203554,0.8086153385203554,0.8086153385203554,0.8086153385203554,0.8067408511618426,0.7658116473069744,0.7518405275660568,0.7326761901492763,0.669301413086651,0.5976681144862269,0.4017376427529372,0.23363709288624782,0.11179684000911252,0.021757420515718728,0.0,0.608520549899152,0.8176470588235294,0.8176470588235294,0.8176470588235294,0.8176470588235294,0.8176470588235294,0.8176470588235294,0.8176470588235294,0.8176470588235294,0.8163398692810457,0.7980392156862746,0.7895424836601307,0.7784313725490196,0.7333333333333333,0.6594771241830065,0.5137254901960784,0.3477124183006536,0.17124183006535948,0.03071895424836601,0.0,0.6410388716890264,0.8464140730717186,0.8464140730717186,0.8464140730717186,0.8464140730717186,0.8464140730717186,0.8464140730717186,0.8464140730717186,0.8464140730717186,0.8450608930987822,0.8261163734776725,0.8173207036535859,0.8058186738836265,0.7591339648173207,0.6826792963464141,0.5317997293640054,0.35994587280108253,0.17726657645466848,0.031799729364005415,0.0,0.6635923367281533,0.8653626138781676,0.8653626138781676,0.8653626138781676,0.8653626138781676,0.8653626138781676,0.8653626138781676,0.8653626138781676,0.8653626138781676,0.8635657565745298,0.8388231359342114,0.8276398712488658,0.815701805994095,0.77436985420599,0.7233862057530032,0.5478668118666506,0.3588547583346972,0.18234214592435483,0.03682086068960507,0.0,0.6785406377658604,0.9244677586960934,0.9244677586960934,0.9244677586960934,0.9244677586960934,0.9244677586960934,0.9244677586960934,0.9244677586960934,0.9244677586960934,0.923612277771139,0.9027215422519625,0.895584456813752,0.8829378675280051,0.8324397315374553,0.7572740954750721,0.5986769152232307,0.4087672653938279,0.22869221095622316,0.051227591461205466,0.0,0.730404001262138,0.7708719409074789,0.7708719409074789,0.7708719409074789,0.7708719409074789,0.7708719409074789,0.7708719409074789,0.7708719409074789,0.7708719409074789,0.771407742614039,0.7780165632597941,0.7807354893336017,0.783553243684642,0.793199156332242,0.8062561275683916,0.8288420849562667,0.8554215958561789,0.8784756269625513,0.9133898029166684,1.0,0.8082248926707477,0.8131186587828133,0.8131186587828133,0.8131186587828133,0.8131186587828133,0.8131186587828133,0.8131186587828133,0.8131186587828133,0.8131186587828133,0.8115261677734971,0.7817593788246302,0.7704609253238268,0.755207343934027,0.7005862090160954,0.6278124316682944,0.4542938118150738,0.28502371580661784,0.1383629122224761,0.025852760111539804,0.0,0.6239913119346624,1251.0,1251.0,1251.0,1251.0,1251.0,1251.0,1251.0,1251.0,1249.0,1221.0,1208.0,1191.0,1122.0,1009.0,786.0,532.0,262.0,47.0,0.0,980.7894736842105,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,281.0,309.0,322.0,339.0,408.0,521.0,744.0,998.0,1268.0,1483.0,1530.0,549.2105263157895,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,229.0,257.0,270.0,287.0,356.0,469.0,692.0,946.0,1216.0,1431.0,1478.0,497.2105263157895,0.6300653594771242,0.7780165632597941,0.6300653594771242,0.7980392156862746,0.8261163734776725,0.6666666666666666,0.3333333333333333,0.0,0.45291387172562647,0.8118351063829787,0.10899067005937235,0.6300653594771242,949.9582237402085,1221,309,257,0,2,1,0,2.0,2358,0.8118351063829787,0.7980392156862746,0.8261163734776725,1221,309,257,1478,1530,5,3
