experiment_version,clip_id,video_path,video_sha256,camera_config_path,camera_config_sha256,frames,fps,duration_seconds,detections,wall_seconds
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_negative_r2_low_light_side_oblique,E:\SCT_Camera\tmp\intrusion_daylow_review_20260819_1\58606849029842367887.mp4,10ef28fa8e90dabb097f1ab221538016b2d3fbdea81ff2969ba9991127f1941f,E:\SCT_Camera\tmp\intrusion_daylow_review_20260819_1\out.yaml,e9778ef38c9469a111ca8aeb8e0aa0f3f3cacc794352a07f2a7563362a315bf8,671,24.908,26.939,3,31.397
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,E:\SCT_Camera\tmp\intrusion_daylow_review_20260819_1\91014796315081936208.mp4,93e8d2c51efd1bf49c104b3ad12ee352e6f3d551bf85d6c7907a68b780354744,E:\SCT_Camera\tmp\intrusion_daylow_review_20260819_1\in.yaml,7051fa219f9deb11ec922bbee46ae9831ce3c05f64ff696ed3c1f134157698be,733,24.907,29.429,18,27.801
