experiment_version,clip_id,video_path,video_sha256,camera_config_path,camera_config_sha256,frames,fps,duration_seconds,detections,wall_seconds
priority-pilot-v2-single-participant-2026-08-18,daylight_out_review,E:\SCT_Camera\tmp\intrusion_light_review_20260818_1\83103301771838073566.mp4,749f8dd9c9b9e834c5b3f116a99dcb4e40e130fd9200fa1e72fc2e1762eb036c,E:\SCT_Camera\tmp\intrusion_light_review_20260818_1\out.yaml,de6260935d8968a7a789cd92b764e90b9dbc25b4e4e8b6905c473ede169bc1b6,709,24.908,28.465,3,35.864
priority-pilot-v2-single-participant-2026-08-18,daylight_in_review,E:\SCT_Camera\tmp\intrusion_light_review_20260818_1\89739805317667775775.mp4,60a1fc9cd318140f6266145c43325048d42c811bd325e28a28da5f846f9f96cc,E:\SCT_Camera\tmp\intrusion_light_review_20260818_1\in.yaml,0c3145125f0fe2eaa2f9a7c4b7a927a486142b63f3475f3c534fe028d4091476,696,24.908,27.943,9,29.484
