experiment_version,clip_id,video_path,video_sha256,camera_config_path,camera_config_sha256,frames,fps,duration_seconds,detections,wall_seconds
priority-pilot-v2-single-participant-2026-08-18,daylight_out_review,E:\SCT_Camera\tmp\intrusion_light_review_20260818_1\83103301771838073566.mp4,749f8dd9c9b9e834c5b3f116a99dcb4e40e130fd9200fa1e72fc2e1762eb036c,E:\SCT_Camera\tmp\intrusion_light_review_20260818_1\out.yaml,99e043c380f2ae099cb81b6aa006d2623235af77b3e467a22a8ae2d0faed877f,709,24.908,28.465,2,32.445
priority-pilot-v2-single-participant-2026-08-18,daylight_in_review,E:\SCT_Camera\tmp\intrusion_light_review_20260818_1\89739805317667775775.mp4,60a1fc9cd318140f6266145c43325048d42c811bd325e28a28da5f846f9f96cc,E:\SCT_Camera\tmp\intrusion_light_review_20260818_1\in.yaml,9df17911cac6511fbf96459d52a2437e93ea0272ce1961578586b7d314601312,696,24.908,27.943,5,32.247
